id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm889018,Nobody Knows I'm Here,MOVIE,"Memo lives on a remote Chilean sheep farm, hiding a beautiful singing voice from the outside world. A recluse with a glittery flair, he can't stop dwelling on the past, but what will happen once someone finally listens?",2020,,91,"['drama', 'music']",['CL'],,tt10728764,6.5,4148,12.69,6.9
tm846166,Pets United,MOVIE,"When Roger (a Robin Hood-esque, stray dog) and Belle (an elegant yet spoilt pet cat) are thrown together amidst the chaos of a robot take-over of their home city, they must push all their preconceptions aside in order to survive, as they embark on a high-stakes, action-packed adventure.",2019,,89,"['comedy', 'animation']","['CN', 'DE', 'GB']",,tt11276598,3.7,2754,65.129,5.9
tm819107,Aziz Ansari: Right Now,MOVIE,"Aziz Ansari shares deep personal insights and hilarious takes on wokeness, family and the social climate.",2019,,65,['comedy'],['US'],,tt10575038,7.5,5161,4.989,7.4
