id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts251061,Legend of Exorcism,SHOW,"In the twelve years of Tianbao, Kong Hongjun, a handsome young man who is not familiar with the world, left the Yaojin Palace on the Taihang Mountain with three important tasks, and came to Chang'an, which is full of prosperity. Kong Hongjun first entered the Datang Exorcism Division, and the head supervisor was actually Long Wujun general Li Jinglong who had dealt with it not long ago. But he accidentally broke the Chen's heart lamp, and the heart lamp entered Li Jinglong's body. In the light and shadow of the lamp, there are the bright red lights of Pingkangli, the exorcism of the sycamore in the summer sunshine, the vast sky and sand and flying snow, the peaceful singing of Artai. Mo Rigen and Lu Xu picked off early morning leaves, Qiu Yongsi's flying strokes. Adaptation of Fei Tian Ye Xiang's (非天夜翔) web novel of the same name.",2020,TV-14,20,"['scifi', 'action', 'fantasy', 'animation']",['CN'],2,tt14994658,7.7,93,16.041,9.5
tm467467,Homecoming: A Film by Beyoncé,MOVIE,"This intimate, in-depth look at Beyoncé's celebrated 2018 Coachella performance reveals the emotional road from creative concept to cultural movement.",2019,PG-13,137,"['documentation', 'music']",['US'],,tt10147546,7.5,7085,10.614,8.2
ts312044,Beyblade Burst Surge,SHOW,,2020,TV-Y,23,['animation'],['JP'],1,tt18554728,8.3,30,7.501,9.7
ts221174,Ricky Zoom,SHOW,"From Hasbro's Entertainment One comes Ricky Zoom, a CGI preschool series about a red motorbike named Ricky. Along with his bike buddies, Ricky races around the sports track, tries new stunts at the park, and zooms into adventures.",2019,TV-Y,12,"['animation', 'family']",['CN'],2,tt10932166,6.3,95,1.375,7.2
tm467848,NiNoKuni,MOVIE,"Adapted from the video game series of the same name, NiNoKuni follows high school peers Yuu and Haru who must travel between two separate yet parallel worlds to help save their childhood friend, Kotona, whose life is in danger. In this magical quest complicated by love, the three teens will be tasked with making the ultimate choice.",2019,PG-13,106,"['family', 'fantasy', 'romance', 'animation', 'action']",['JP'],,tt9760504,6.1,3338,19.73,6.7
tm917974,Hard Kill,MOVIE,"The work of billionaire tech CEO Donovan Chalmers is so valuable that he hires mercenaries to protect it, and a terrorist group kidnaps his daughter just to get it.",2020,R,98,"['thriller', 'action']",['US'],,tt11656172,3.3,19750,13.322,5.1
ts269501,BREAK IT ALL: The History of Rock in Latin America,SHOW,"Soda Stereo, Café Tacvba, Aterciopelados and others figure in this 50-year history of Latin American rock through dictatorships, disasters and dissent.",2020,TV-MA,50,"['documentation', 'music']",['AR'],1,tt13570366,7.6,1230,7.752,7.6
ts269442,The Surgeon's Cut,SHOW,"They're philosophers, storytellers and pioneers in their fields. Four surgeons reflect on their lives and professions in this inspiring docuseries.",2020,TV-14,54,['documentation'],[],1,tt13487106,8.5,1027,3.714,7.7
tm889018,Nobody Knows I'm Here,MOVIE,"Memo lives on a remote Chilean sheep farm, hiding a beautiful singing voice from the outside world. A recluse with a glittery flair, he can't stop dwelling on the past, but what will happen once someone finally listens?",2020,,91,"['drama', 'music']",['CL'],,tt10728764,6.5,4148,12.69,6.9
tm843768,John Mulaney & The Sack Lunch Bunch,MOVIE,"John Mulaney and his kid pals tackle existential topics for all ages with catchy songs, comedy sketches and special guests in a nostalgic variety special.",2019,PG,70,"['comedy', 'family']",['US'],,tt11318624,7.4,3532,5.581,7.1
tm846166,Pets United,MOVIE,"When Roger (a Robin Hood-esque, stray dog) and Belle (an elegant yet spoilt pet cat) are thrown together amidst the chaos of a robot take-over of their home city, they must push all their preconceptions aside in order to survive, as they embark on a high-stakes, action-packed adventure.",2019,,89,"['comedy', 'animation']","['CN', 'DE', 'GB']",,tt11276598,3.7,2754,65.129,5.9
tm819107,Aziz Ansari: Right Now,MOVIE,"Aziz Ansari shares deep personal insights and hilarious takes on wokeness, family and the social climate.",2019,,65,['comedy'],['US'],,tt10575038,7.5,5161,4.989,7.4
tm886086,Seized,MOVIE,"Hiding out with his son Taylor on the Mexican coast, Nero hopes to put his violent Special Forces career behind him. But after Nero’s home is attacked and Taylor is abducted, the mysterious Mzamo orders Nero to slaughter the members of three rival crime syndicates. If he fails, Taylor will die. Now, with bullets flying and bodies dropping as Nero completes his mission, he races to find Mzamo’s hideout and seek revenge.",2020,R,85,"['action', 'thriller']",['US'],,tt7221772,5.3,2270,12.92,6.6
ts89048,My First First Love,SHOW,"Due to various personal reasons, a group of Yun Tae-o’s friends move into his house, where they experience love, friendship, and everything in between.",2019,TV-PG,48,['drama'],['KR'],2,tt8995604,7.5,2246,25.264,8.3
ts88937,Shadow,SHOW,"Haunted by a tragic loss, an ex-cop with a rare inability to feel pain strikes out on his own to catch offenders who've eluded Johannesburg police.",2019,TV-MA,43,"['crime', 'action', 'drama', 'thriller']",['ZA'],1,tt9817236,6.5,969,1.143,6.5
ts82739,Women of the Night,SHOW,"Haunted by a shadowy past, the wife of a rising star in Amsterdam's mayoral office finds herself drawn into the city’s underworld of sex and drugs.",2019,TV-MA,47,"['drama', 'crime']","['NL', 'BE']",2,tt7785420,6.3,879,7.418,6.8
ts251615,(Un)Well,SHOW,"This docuseries takes a deep dive into the lucrative wellness industry, which touts health and healing. But do the products live up to the promises?",2020,TV-MA,52,"['documentation', 'reality']",['US'],1,tt12759384,6.4,1068,3.075,6.7
ts89832,Abyss,SHOW,"After meeting an untimely demise in separate incidents, Cha Min and Go Se-yeon discover they’ve come back to life in new bodies they don’t recognize.",2019,TV-14,63,"['scifi', 'crime', 'fantasy', 'romance', 'comedy']",['KR'],1,tt10055734,7.1,2324,15.15,8.3
ts216493,The Naked Director,SHOW,Follows the story of Toru Muranishi's unusual and dramatic life filled with big ambitions as well as spectacular setbacks in his attempt to turn Japan's porn industry on its head.,2019,TV-MA,50,"['drama', 'comedy']",['JP'],2,tt10477528,7.7,6147,252.688,7.5
